2017-12-01 01:43:01 startup archives unpack
2017-12-01 01:43:02 install libgdbm3:amd64 <none> 1.8.3-13.1
2017-12-01 01:43:02 status half-installed libgdbm3:amd64 1.8.3-13.1
2017-12-01 01:43:02 status unpacked libgdbm3:amd64 1.8.3-13.1
2017-12-01 01:43:02 status unpacked libgdbm3:amd64 1.8.3-13.1
2017-12-01 01:43:02 install libssl1.0.0:amd64 <none> 1.0.1t-1+deb8u7
2017-12-01 01:43:02 status half-installed libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-01 01:43:02 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-01 01:43:02 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u7
2017-12-01 01:43:02 install libbsd0:amd64 <none> 0.7.0-2
2017-12-01 01:43:02 status half-installed libbsd0:amd64 0.7.0-2
2017-12-01 01:43:02 status unpacked libbsd0:amd64 0.7.0-2
2017-12-01 01:43:02 status unpacked libbsd0:amd64 0.7.0-2
2017-12-01 01:43:02 install libedit2:amd64 <none> 3.1-20140620-2
2017-12-01 01:43:02 status half-installed libedit2:amd64 3.1-20140620-2
2017-12-01 01:43:02 status unpacked libedit2:amd64 3.1-20140620-2
2017-12-01 01:43:02 status unpacked libedit2:amd64 3.1-20140620-2
2017-12-01 01:43:02 install libgmp10:amd64 <none> 2:6.0.0+dfsg-6
2017-12-01 01:43:02 status half-installed libgmp10:amd64 2:6.0.0+dfsg-6
2017-12-01 01:43:02 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2017-12-01 01:43:02 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2017-12-01 01:43:02 install libnettle4:amd64 <none> 2.7.1-5+deb8u2
2017-12-01 01:43:02 status half-installed libnettle4:amd64 2.7.1-5+deb8u2
2017-12-01 01:43:02 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2017-12-01 01:43:02 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2017-12-01 01:43:02 install libhogweed2:amd64 <none> 2.7.1-5+deb8u2
2017-12-01 01:43:02 status half-installed libhogweed2:amd64 2.7.1-5+deb8u2
2017-12-01 01:43:02 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2017-12-01 01:43:02 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2017-12-01 01:43:02 install libffi6:amd64 <none> 3.1-2+deb8u1
2017-12-01 01:43:02 status half-installed libffi6:amd64 3.1-2+deb8u1
